,1,2,3,,,,,,,,,,,固态或半固态废物特征,,,液态废物特征,固态废物特征,,,,,,,固态废物特征,液态废物特征,工业组成分析（单位%，总和=1）,,,,,元素组成（单位%，所有元素加和=1）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,物相组成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,污染物含量（mg/kg）数值型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多环芳烃（mg/kg),,,,,,,,,,,,,,,,有机污染物（mg/kg）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,毒性浸出浓度（mg/L),,,,,,,,,,,,,,,,,,,
甘秀石焦化固废配煤炼焦中共炭化理论应用及需关注问题,废水处理污泥,煤化工,煤化工废水处理污泥,回收生化工段,鞍钢焦化公司回收生化工段产生的活性污泥,,,,半固态,泥状,板状、光滑、团聚,,,85.36,,,,,,,,,,,,,53.13,4.12,,,1.43,25.94,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赛音巴特尔焦炉协同处置焦化有机危险废物研究与应用,废水处理污泥,煤化工,煤化工废水处理污泥,酚氰废水作业区,首钢京唐西山焦化公司酚氰废水处理污泥,,,,半固态,泥状,板状、光滑、团聚,,,77.93,,,,,,,,,,,,,47.48,51.27,,5.74,,29.63,3.38,5.42,16.68,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
章丽萍煤间接液化固体废物污染特性研究,废水处理污泥,煤化工,煤化工废水处理污泥,废水生化处理沉淀池,煤间接液化企业废水处理过程中产生的生化污泥,,,,半固态,泥状,板状、光滑、团聚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43,5.21,0.16,12.8,1.8,1.43,0.84,14.3,82.5,0.62,0,25.9,10.3,13.5,0.29,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.011,0.562,0.044,,,,0.00029,0.0006,,0.01,0.005,0.001,0.027,0.0011,0.002,
自测煤化工行业固体废物产生和污染特性调研报告,废水处理污泥,煤化工,煤化工废水处理污泥,废水处理系统,山东莱钢焦化废水处理产生的剩余污泥,,,,半固态,泥状,板状、光滑、团聚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,4.9,90.2,,8,,,1.27,,,23.5,3.24,,17.2,,,,,,,,,,,,0.05,0.05,0.08,0.06,0.06,0.06,0.09,0.1,0.2,0.19,0.28,<0.3,0.28,<0.3,<0.2,<0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘奥灏燃煤锅炉掺烧气化灰渣试验研究,固相热处理渣,煤化工,气化粗渣,水煤浆气化炉,气化灰渣选自煤化工气化炉中的水煤浆经过气化反应后的残留物,,,,固态,颗粒状,板状、粗糙、团聚,,,3.24,,,,,,,,,,,,,4.7,47.31,,44.75,,45.33,0.51,0.54,45.33,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.05,0.93,,,1.24,1.18,8.16,43.69,,22.09,0.83,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化细渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.37,0.93,,,1.15,1.41,7.4,52.74,,9.47,0.91,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化细渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.47,0.96,,,1.08,1.49,7.35,51.84,,9.83,1.44,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化粗渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.94,0.77,,,0.83,0.79,9.82,46.26,,14.92,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化粗渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.01,0.84,,,0.86,1.06,9.72,46.64,,11.55,0.97,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化细渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.34,0.81,,,1.03,0.97,8.36,50.98,,10,0.81,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化粗渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.36,0.74,,,0.75,0.79,11.18,44.66,,15.08,0.98,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化细渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.29,0.77,,,1.5,1.14,6.85,51.56,,11.76,0.47,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化细渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.21,0.8,,,1.35,1.29,6.02,53.66,,10.98,0.24,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化粗渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.24,0.8,,,1.08,0.77,7.23,49.67,,14.84,0.32,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化粗渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.23,0.8,,,1.07,0.81,7.21,51.35,,12.43,0.18,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化细渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.42,0.66,,,1.39,1.03,3.98,54.45,,11.74,0.13,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化细渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.85,0.65,,,1.44,0.96,3.85,52.82,,14,0.13,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化粗渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,0.72,,,0.97,0.62,4.68,51.08,,14.66,0.11,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化粗渣,SE炉（单喷嘴冷壁式粉煤气化炉）,南京扬子SE炉渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.28,0.72,,,0.97,0.54,4.47,49.21,,17.82,0.12,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化细渣,OMB炉（多喷嘴对置式水煤浆气化炉）,宁波中金石化有限公司的焦气化装置（石油焦与煤共气化灰渣）,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.23,0.622,,,1.24,3.57,18.85,35.32,,7.63,18.77,,0.965,,,,,,,,,,,,,,,,,,,,,,,,,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化细渣,OMB炉（多喷嘴对置式水煤浆气化炉）,宁波中金石化有限公司的焦气化装置（石油焦与煤共气化灰渣）,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75,0.787,,,1.42,4.46,18.32,36.93,,8.14,13.87,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化粗渣,OMB炉（多喷嘴对置式水煤浆气化炉）,宁波中金石化有限公司的焦气化装置（石油焦与煤共气化灰渣）,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.94,0.894,,,1.19,3.55,18.81,44.43,,9.81,2.35,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盛羽静气流床气化灰渣的理化特性研究,固相热处理渣,煤化工,气化粗渣,OMB炉（多喷嘴对置式水煤浆气化炉）,宁波中金石化有限公司的焦气化装置（石油焦与煤共气化灰渣）,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35,1.02,,,1.55,4.69,15.63,44.82,,8.67,2.71,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纪丽媛气化灰渣的理化性质及石油焦催化气化反应特性研究,固相热处理渣,煤化工,气化粗渣,德士古气化炉,上海焦化厂德士古气化炉粗渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）/透明褐色（块状、丝状）,,,,,,,,,,,,,,,4.61,78.39,,17,,21.61,0.46,0.15,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35,1.27,,,0.87,2.71,19.67,35.81,,22.98,1.17,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纪丽媛气化灰渣的理化性质及石油焦催化气化反应特性研究,固相热处理渣,煤化工,气化细渣,德士古气化炉,上海焦化厂德士古气化炉细渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）,,,,,,,,,,,,,,,7.75,62.71,,29.54,,34.83,0.87,0.23,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.97,1.51,,,1.21,3.19,12.31,43.52,,17.02,2.46,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纪丽媛气化灰渣的理化性质及石油焦催化气化反应特性研究,固相热处理渣,煤化工,气化细渣,四喷嘴气化炉,山东鲁南化肥厂四喷嘴气化炉的气化灰渣,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）,,,,,,,,,,,,,,,2.31,96.43,,1.26,,3.32,0.03,0.59,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55,2.18,,,1.45,1.63,14.66,48.07,,14.77,0.68,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纪丽媛气化灰渣的理化性质及石油焦催化气化反应特性研究,固相热处理渣,煤化工,气化粗渣,四喷嘴气化炉,山东兖矿国泰化工有限公司四喷嘴气化炉气化粗渣1,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）,,,,,,,,,,,,,,,2.14,95.92,,1.94,,4.05,0.03,0.64,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.32,2.38,,,1.33,1.01,16.98,41.44,,18.29,0.73,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纪丽媛气化灰渣的理化性质及石油焦催化气化反应特性研究,固相热处理渣,煤化工,气化粗渣,四喷嘴气化炉,山东兖矿国泰化工有限公司四喷嘴气化炉气化粗渣2,,,,固态,颗粒状,板状、粗糙、团聚,黑色/红褐色（含Fe高）,,,,,,,,,,,,,,,2.44,95.23,,2.33,,3.8,0.02,0.51,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33,2.37,,,1.35,0.98,17.47,40.1,,19.04,0.73,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
